section,section_label,order,date,kind,source,asset
03_4-6_months,03_4-6_months,37,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/03_4-6_months/2026-06-03T13_34_29.441_q6h.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/03_4-6_months/037_2026-06-03_133429_photo.jpg
04_7-9_months,04_7-9_months,1,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_05_43.881_ukk.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/001_2026-06-03_140543_photo.jpg
04_7-9_months,04_7-9_months,2,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_06_24.133_ivk.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/002_2026-06-03_140624_video.mp4
04_7-9_months,04_7-9_months,3,2026-06-03,video,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_07_16.422_myw.mp4,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/003_2026-06-03_140716_video.mp4
04_7-9_months,04_7-9_months,4,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_07_28.216_gr8.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/004_2026-06-03_140728_photo.jpg
04_7-9_months,04_7-9_months,5,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_07_55.386_1f0.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/005_2026-06-03_140755_photo.jpg
04_7-9_months,04_7-9_months,6,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_08_01.049_a5a.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/006_2026-06-03_140801_photo.jpg
04_7-9_months,04_7-9_months,7,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_08_22.939_l62.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/007_2026-06-03_140822_photo.jpg
04_7-9_months,04_7-9_months,8,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_08_25.939_yr8.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/008_2026-06-03_140825_photo.jpg
04_7-9_months,04_7-9_months,9,2026-06-03,photo,/Users/heecchoi/윤서/baby-growth-video/incoming/device_albums/04_7-9_months/2026-06-03T14_08_50.699_8pc.jpg,/Users/heecchoi/윤서/baby-growth-video/assets/04_7-9_months/009_2026-06-03_140850_photo.jpg
